Date,Actual (Monthly Avg),Predicted
31-01-10,10.36666667,0
28-02-10,10.15,10.36666633
31-03-10,11.05,10.18164765
30-04-10,11.35,10.92349057
31-05-10,11.1,11.2527372
30-06-10,11.25,11.10018834
31-07-10,10.83333333,11.22665276
31-08-10,10.15,10.88907367
30-09-10,12.32727273,10.27896801
31-10-10,11.07333333,12.03878494
30-11-10,10.29166667,11.15392847
31-12-10,11.57333333,10.44591658
31-01-11,10.275,11.43479694
28-02-11,9.221428571,10.42241461
31-03-11,9.130434783,9.44482424
30-04-11,9.064705882,9.233863039
31-05-11,8.405,9.116276687
30-06-11,8.580952381,8.528613343
31-07-11,9.455,8.602844606
31-08-11,8.68,9.327255282
30-09-11,8.365,8.750002805
31-10-11,8.157142857,8.44214669
30-11-11,7.909090909,8.220411626
31-12-11,8.43,7.973093828
31-01-12,8.031578947,8.374218083
29-02-12,7.345,8.071516873
31-03-12,7.33,7.468163839
30-04-12,7.571428571,7.381531103
31-05-12,7.125,7.55430832
30-06-12,6.884210526,7.187875164
31-07-12,6.7,6.946922169
31-08-12,6.6375,6.753811182
30-09-12,7.39,6.668750692
31-10-12,7.755555556,7.284973251
30-11-12,7.30952381,7.656526557
31-12-12,7.05,7.339624566
31-01-13,6.60952381,7.102547793
28-02-13,6.336842105,6.699293261
31-03-13,5.8,6.415274868
30-04-13,5.876190476,5.91515544
31-05-13,6.247619048,5.910283253
30-06-13,6.794444444,6.203234029
31-07-13,6.468181818,6.691327925
31-08-13,5.938888889,6.477947424
30-09-13,5.88,6.02544142
31-10-13,5.955,5.923762924
30-11-13,6.3,5.960766174
31-12-13,6.105555556,6.248428984
31-01-14,6.3,6.115323003
28-02-14,6.395238095,6.273537184
31-03-14,6.18,6.369797445
30-04-14,6.50952381,6.203450363
31-05-14,6.461111111,6.467432149
30-06-14,6.18,6.451860628
31-07-14,5.970588235,6.220202818
31-08-14,6.073684211,6.019345248
30-09-14,5.6,6.077057546
31-10-14,5.708695652,5.675315961
30-11-14,5.56,5.721801587
31-12-14,5.6,5.588453953
31-01-15,4.972727273,5.605117596
28-02-15,4.926315789,5.072723651
31-03-15,4.747058824,4.973499448
30-04-15,4.389473684,4.793894962
31-05-15,4.781818182,4.464018083
30-06-15,4.723809524,4.750322445
31-07-15,4.944444444,4.720289274
31-08-15,4.860869565,4.908585027
30-09-15,4.605,4.859598888
31-10-15,4.63,4.644448142
30-11-15,4.555,4.641850761
31-12-15,4.491304348,4.571444633
31-01-16,4.6,4.507818421
29-02-16,4.572222222,4.589621834
31-03-16,4.5,4.572415098
30-04-16,4.636842105,4.511354978
31-05-16,4.631578947,4.620008274
30-06-16,4.768181818,4.625677783
31-07-16,5.030434783,4.744493645
31-08-16,4.735,4.980021851
30-09-16,4.738888889,4.761000228
31-10-16,4.827272727,4.748665498
30-11-16,4.947619048,4.817375592
31-12-16,5.182352941,4.924873538
31-01-17,7.636842105,5.136613762
28-02-17,7.045,7.235291228
31-03-17,7.05,6.977049779
30-04-17,7.085,7.022081488
31-05-17,7.0625,7.068384531
30-06-17,7.215789474,7.059377685
31-07-17,7.247619048,7.190605391
31-08-17,7.2,7.232590728
30-09-17,6.995238095,7.20143405
31-10-17,6.77,7.027785664
30-11-17,6.627272727,6.818171065
31-12-17,6.723809524,6.668798875
31-01-18,6.29047619,6.725319277
28-02-18,6.035294118,6.35874684
31-03-18,6.04,6.102408085
30-04-18,6.004761905,6.066068898
31-05-18,6.033333333,6.020675861
30-06-18,5.947058824,6.03522739
31-07-18,6.042857143,5.961287566
31-08-18,6.036842105,6.033580268
30-09-18,5.31,6.034076424
31-10-18,4.913636364,5.422396357
30-11-18,4.954545455,5.020419485
31-12-18,5.066666667,4.99080393
31-01-19,5.00952381,5.063639031
28-02-19,4.705882353,5.017237855
31-03-19,4.49,4.75637866
30-04-19,4.436842105,4.543878415
31-05-19,4.49047619,4.466660821
30-06-19,4.689473684,4.494009793
31-07-19,5.047826087,4.659810229
31-08-19,4.482352941,4.980020244
30-09-19,4.255,4.543575013
31-10-19,4.247826087,4.314953238
30-11-19,4.36,4.272890261
31-12-19,4.305882353,4.352493393
31-01-20,4.628571429,4.311335196
29-02-20,4.736842105,4.580359265
31-03-20,4.44,4.700680155
30-04-20,4.85,4.471911499
31-05-20,4.7125,4.798720662
30-06-20,4.32,4.713491709
31-07-20,4.33,4.381687377
31-08-20,4.79,4.353074935
30-09-20,4.873913043,4.727383735
31-10-20,5.521052632,4.835802027
30-11-20,6.194117647,5.404777119
31-12-20,5.555,6.042576644
31-01-21,6.37,5.594280251
28-02-21,6.188888889,6.258420306
31-03-21,5.78,6.17260819
30-04-21,5.621052632,5.837348407
31-05-21,6.642105263,5.668776864
30-06-21,6.927272727,6.501721501
31-07-21,7.575,6.826676063
31-08-21,7.826315789,7.433677408
30-09-21,7.959090909,7.730630328
31-10-21,6.910526316,7.900142712
30-11-21,6.528571429,7.050723653
31-12-21,6.676190476,6.644207596
31-01-22,6.375,6.699321229
28-02-22,6.327777778,6.431270645
31-03-22,6.413636364,6.357625002
30-04-22,6.338888889,6.412149296
31-05-22,6.121052632,6.349967271
30-06-22,6.258333333,6.159493562
31-07-22,6.213636364,6.252248509
31-08-22,6.265,6.218185936
30-09-22,6.173684211,6.258796242
31-10-22,6.166666667,6.185466102
30-11-22,6.152380952,6.172467912
31-12-22,6.16,6.156928637
